"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Database Persistence Layer","0","Employee and Department Management","2","0","Join Operations","0"
"1","Shopping Cart System","0","Purchase Flow","0","0","Sorting Functionality","0"
"0","Database Persistence Layer","0","Employee and Department Management","1","0","Complex Queries","0"
"0","Database Persistence Layer","0","Employee and Department Management","3","0","Aggregation Operations","0"
"0","Core API Services","0","Post Management Service","1","0","Delete Operations","0"
"0","Core API Services","0","Post Management Service","1","0","Get Operations","0"
"4","Identity & Access Management","0","Authentication","0","0","Negative Login Scenarios","0"
"1","Shopping Cart System","0","Purchase Flow","0","0","Cart Management","0"
"0","Database Persistence Layer","0","Employee and Department Management","2","0","Data Integrity","0"
"1","Shopping Cart System","0","Purchase Flow","0","0","E2E Complete Purchase","0"
"1","Shopping Cart System","0","Purchase Flow","0","0","Sorting Logic","0"
"0","Core API Services","0","Post Management Service","2","0","Update Operations","0"
"0","Database Persistence Layer","0","Employee and Department Management","2","0","Search and Filtering","0"
"1","Identity & Access Management","0","Authentication","0","0","Happy Path Login","0"
