"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_verify_empty_table_initially","tests","2026-09-12","passed","2026-09-12","TestDatabase","test_database","",""
"Data-driven test to verify that different invalid credentials trigger correct error messages.","0","test_login_failure_scenarios[chromium-standard_user-wrong_password-do not match]","tests","2026-09-12","broken","2026-09-12","TestLoginNegative","test_login_negative","",""
"Complete checkout flow starting from login to the success message confirmation.","0","test_complete_purchase_e2e[chromium]","tests","2026-09-12","broken","2026-09-12","TestPurchaseFlow","test_purchase","",""
"","1","test_verify_unique_employee_id_constraint","tests","2026-09-12","passed","2026-09-12","TestDatabase","test_database","",""
"Identify unassigned departments using LEFT JOIN.","1","test_verify_unassigned_department_left_join","tests","2026-09-12","passed","2026-09-12","TestDatabase","test_database","",""
"Validates the mathematical correctness of price sorting from Low to High.","0","test_price_sorting_logic[chromium]","tests","2026-09-12","broken","2026-09-12","TestPurchaseFlow","test_purchase","",""
"Data-driven test to verify that different invalid credentials trigger correct error messages.","0","test_login_failure_scenarios[chromium---Username is required]","tests","2026-09-12","broken","2026-09-12","TestLoginNegative","test_login_negative","",""
"Ensures that the sorting UI is functional for 'Price Low to High'.","0","test_should_sort_products_by_price_low_to_high[chromium]","tests","2026-09-12","broken","2026-09-12","TestPurchaseFlow","test_purchase","",""
"Verifies that a post can be deleted from the system.","65","test_delete_and_verify","tests","2026-09-12","passed","2026-09-12","TestAPI","test_api","",""
"Data-driven test to verify that different invalid credentials trigger correct error messages.","0","test_login_failure_scenarios[chromium-non_existent_user-secret_sauce-do not match]","tests","2026-09-12","broken","2026-09-12","TestLoginNegative","test_login_negative","",""
"Verifies that a specific product can be added to the shopping cart successfully.","0","test_should_add_backpack_to_cart[chromium]","tests","2026-09-12","broken","2026-09-12","TestPurchaseFlow","test_purchase","",""
"","2","test_complex_join_with_sorting","tests","2026-09-12","passed","2026-09-12","TestDatabase","test_database","",""
"","2","test_get_max_employee_id","tests","2026-09-12","passed","2026-09-12","TestDatabase","test_database","",""
"","0","test_elite_login_check[chromium]","tests","2026-09-12","broken","2026-09-12","","test_login","",""
"","1","test_verify_employee_count_by_group","tests","2026-09-12","passed","2026-09-12","TestDatabase","test_database","",""
"Fetches a single post and validates the JSON schema fields.","409","test_get_single_post_and_validate_schema","tests","2026-09-12","passed","2026-09-12","TestAPI","test_api","",""
"Verify INNER JOIN between employees and departments.","2","test_verify_employee_join","tests","2026-09-12","passed","2026-09-12","TestDatabase","test_database","",""
"","2","test_verify_subquery_filtering","tests","2026-09-12","passed","2026-09-12","TestDatabase","test_database","",""
"","2","test_search_employee_by_name_pattern","tests","2026-09-12","passed","2026-09-12","TestDatabase","test_database","",""
"","1","test_verify_multiple_employees_in_dept","tests","2026-09-12","passed","2026-09-12","TestDatabase","test_database","",""
"","583","Patch Post Title: Elite Test Update","tests","2026-09-12","passed","2026-09-12","TestAPI","test_api","",""
"","175","Patch Post Title: Updated Title 1","tests","2026-09-12","passed","2026-09-12","TestAPI","test_api","",""
"Data-driven test to verify that different invalid credentials trigger correct error messages.","0","test_login_failure_scenarios[chromium-locked_out_user-secret_sauce-locked out]","tests","2026-09-12","broken","2026-09-12","TestLoginNegative","test_login_negative","",""
